title,genres,description
The Shawshank Redemption,Drama,Two imprisoned men bond and find redemption through acts of decency.
The Godfather,Crime|Drama,An aging crime boss transfers control to his reluctant son.
The Dark Knight,Action|Crime|Drama,"Batman faces the Joker, a mastermind plunging Gotham into chaos."
Pulp Fiction,Crime|Drama,"Mobsters, a boxer, and a gangster's wife intersect in tales of crime."
Forrest Gump,Drama|Romance,History through the eyes of a kind-hearted man with a low IQ.
Inception,Action|Adventure|Sci-Fi,A thief steals corporate secrets through dream-sharing technology.
Fight Club,Drama,An office worker and a soap maker start an underground fight club.
The Matrix,Action|Sci-Fi,A hacker discovers the true nature of reality and his role in it.
Interstellar,Adventure|Drama|Sci-Fi,Explorers travel through a wormhole to save humanity.
Gladiator,Action|Adventure|Drama,A Roman general seeks vengeance against a corrupt emperor.
Titanic,Drama|Romance,A rich girl falls for a poor artist aboard the Titanic.
The Lord of the Rings: The Fellowship of the Ring,Action|Adventure|Drama,A hobbit begins a journey to destroy a powerful ring.
The Silence of the Lambs,Crime|Drama|Thriller,An FBI cadet consults a killer to catch another serial murderer.
Se7en,Crime|Drama|Mystery,Two detectives hunt a killer using the seven deadly sins.
The Green Mile,Crime|Drama|Fantasy,Death row guards are changed by a gentle inmate's powers.
Saving Private Ryan,Drama|War,Soldiers go behind enemy lines to save a paratrooper.
Schindler's List,Biography|Drama|History,A man saves Jews by employing them during the Holocaust.
Braveheart,Biography|Drama|History,A Scottish warrior leads a rebellion against English rule.
The Lion King,Animation|Adventure|Drama,A lion prince must embrace his destiny to lead the kingdom.
Avengers: Endgame,Action|Adventure|Drama,The Avengers try to reverse Thanos' destruction.
Joker,Crime|Drama|Thriller,A comedian descends into madness and becomes the Joker.
Toy Story,Animation|Adventure|Comedy,Toys deal with jealousy and identity when a new toy arrives.
The Social Network,Biography|Drama,The rise of Facebook and the lawsuits that followed.
Deadpool,Action|Comedy,A mercenary becomes Deadpool after a rogue experiment.
Black Panther,Action|Adventure|Sci-Fi,T'Challa returns to Wakanda to become king.
Iron Man,Action|Adventure|Sci-Fi,An engineer builds a suit to escape captivity and become Iron Man.
Doctor Strange,Action|Adventure|Fantasy,A surgeon learns mystical arts after a career-ending accident.
Coco,Animation|Adventure|Family,A boy travels to the Land of the Dead to learn about family.
Finding Nemo,Animation|Adventure|Comedy,A clownfish searches for his missing son across the ocean.
Inside Out,Animation|Adventure|Comedy,A girl's emotions struggle with a life-changing move.
Up,Animation|Adventure|Comedy,An old man flies his house to South America with a boy scout.
Frozen,Animation|Adventure|Comedy,A queen must learn to control her icy powers.
The Incredibles,Animation|Action|Adventure,Superhero family returns to save the world again.
Zootopia,Animation|Adventure|Comedy,A bunny cop and fox con artist uncover a conspiracy.
Moana,Animation|Adventure|Comedy,A Polynesian girl sails to save her island.
Ratatouille,Animation|Comedy|Family,A rat becomes a chef in a top French restaurant.
The Avengers,Action|Adventure|Sci-Fi,Earth's mightiest heroes unite to stop Loki's invasion.
Guardians of the Galaxy,Action|Adventure|Comedy,Criminals team up to stop a cosmic villain.
Spider-Man: Homecoming,Action|Adventure|Sci-Fi,A teenage Spider-Man tries to balance heroism and school.
Logan,Action|Drama|Sci-Fi,An older Wolverine protects a young mutant.
Wonder Woman,Action|Adventure|Fantasy,An Amazon warrior discovers her powers during a world war.
The Prestige,Drama|Mystery|Sci-Fi,Two magicians compete to create the ultimate illusion.
Django Unchained,Drama|Western,A freed slave sets out to rescue his wife.
Whiplash,Drama|Music,A drummer faces abuse in pursuit of greatness.
La La Land,Comedy|Drama|Music,An actress and pianist fall in love in L.A.
Parasite,Drama|Thriller,A poor family infiltrates a rich household.
1917,Drama|War,Two soldiers race to stop a deadly attack during WWI.
The Revenant,Action|Adventure|Drama,A frontiersman fights for survival after a bear attack.
Tenet,Action|Sci-Fi,A secret agent manipulates time to stop a global threat.
